,Transljteratjon,Translation
50, m n .k jr .t Hr ,Take the eye of Horus!
51, m n .k jr .t Hr ,Take the eye of Horus!
52, sww .k Hr jr .t Hr , whom you harmed because of the eye of Horus .
53, m n .k xpS nj stS fd .n Hr,"Take the foreleg of Seth, which Horus removed!"
54,m n .k mw jmj jr .t Hr ,Take the water which is in the eye of Horus!
55,d n .k sw m Xn .k ,Put him within you!
56,Dsr .k Hr .f,May you be supported upon him .
57, mr kw swt Hr ,The one who loves you is Horus .
58, snxt n .k jr .t Hr xr .k,Make the eye of Horus return to you!
59, m nXX .w Hr .k ,Do not let your sight be dark!
60,m n .k mw jmjw jr .t Hr ,Take the water which is the eye of Horus!
61, m n .k Dba stS smAA jr .t Hr HD .t ,"Take the finger of Seth, which makes the white eye of Horus see!"
62, m n .k jr .t Hr j .sHD .t tp Dba stS ,"Take the eye of Horus, which the tip of the finger of Seth illuminates!"
63, nDr n .k a .f Dj .n xftj .k ,"Grasp his hand, which your opponent Seth gave!"
64, m wA .f m a .k,Do not let it be far from you!
65,Dsr .tj Dsr .t Hr Dba .wj .f j ,Be truly supported upon his fingers!
66,anx .tj anx .tj ,Live! Live!
67, m n .k jr .t Hr nxA .t m a ms .w .f ,"Take the eye of Horus, which dangles from the hand of his children!"
68, m n .k a nj nb .t Hw .t,Take the hand of Nephthys!
69, d n .k sw Xr .k,Put it under yourself !
70, nDr n .k sw ,Grasp hold of it!
71, j .sj .j Xr wsjr Nt .,Let me set out bearing the Osiris Neith .
72,npD .j xftj Nt . pn aHa Nt . pn,"Let me slaughter the enemy of Neith, the Ahau heron of Neith ."
73, mH .n .j n .k jr .t .k m mD .t,With oil have I filled your eye for you .
74,m n .k Hnq jmj Hr .f ,Take the outflow which is from his face!
75, m n .k jr .t Hr j .sfkk .t n .f Hr .s ,"Take the eye of Horus, because of which he is punished!"
76, m n .k jr .t Hr Snm .t .n .f ,"Take the eye of Horus, with which he joined!"
77, m n .k jr .t Hr jn .t .n .f nTr .w jm .s,"Take the eye of Horus, by which he brought the gods!"
78, dd .j Tm m HA .t W. pn,In the brow of Unas do I put you .
79,jn .n .j n .k jr .t Hr jT.n .f r HA .t .k ,"To you I have brought the eye of Horus, which he took away to your forehead!"
80,sdm n .k jr .t Hr wDA .t r Hr .k,Paint the whole eye of Horus in your face!
81, m n .k jr .t Hr wDA .t,Take the whole eye of Horus!
82, Dj .T ksj tA .wj n W. pn mj kjw .sn n Hr,"May you cause that the two lands bow to Unas, just as they should bow to Horus ."
83, jmj n .f jr .t Hr ,Give him the eye of Horus!
84, m n .k jr .t Hr Htp .n .f Hr .s,Take the eye of Horus with which he became satisfied!
85, m n .k jr .t Hr ,Take the eye of Horus!
86, sHm n .k sj xr .k,Make it return to you!
87, m n .k jr .t Hr ,Take the eye of Horus!
88, m n .k jr .t Hr ,Take the eye of Horus!
89, m n .k jr .t Hr jtH .t .n .f ,"Take the eye of Horus, which he tore out!"
90, m n .k jr .t Hr ,Take the eye of Horus!
91, m n .k jr .t Hr j .xxm .t .n .sn r .f ,"Take the eye of Horus, which they took away from him!"
92, m n .k jr .t Hr ,Take the eye of Horus!
93, Ssp n .k t .k pn jmj jr .t Hr ,"Receive this your bread, which is the eye of Horus!"
94, Dwj .k kA .k wsjr js ,May you summon your Ka as Osiris .
95, m n .k jr .t Hr nSbSb .t .n .k Hr .s ,"Take the eye of Horus, because of which your hunger is sated!"
96, Htm kw m Hnq pr jm .k,Provide yourself with the outflow which went forth from you!
97,m n .k jsw .tj jr .t Hr,"Take the uraeus, the eye of Horus!"
98, wsjr Ne. ,O Osiris Neferkare .
99, j .rDj .n n .k Hr jr .t .f m a .k ,Into your hand has Horus put his eye for you .
100, jmj n .j a .k ,Give me your hand!
101, j .mr .n .j kw ,I love you .
102, jw .n nD .t kw jT jr .t Hr ,"That which saves you has come, for the eye of Horus has been seized ."
103, jmj n .j a .k ,Give me your hand!
104, wsjr Ne. ,O Osiris Neferkare .
105, wsjr Ne. ,O Osiris Neferkare .
106, jnk sA .k ,I am your son .
107, sSm .snj Ne. r qbHw xr Hr r P.t xr nTr aA,"That they guide Neferkare to the firmament with Horus, to the sky with the great god ."
108,jab n .k snj nDr n .k snj ,Join with them; grasp hold of them!
109, jab n .k mw jmj .s ,Join with the water which is in it!
110, m n .k jr .t Hr bd .t rA .f ,"Take the eye of Horus, which purified his mouth!"
111, m n .k jr .t Hr ,Take the eye of Horus!
112,m n .k jr .t Hr tj .t stS ,"Take the eye of Horus, which Seth trampled!"
113, m n .k jr .t Hr jtH .t .n .f ,"Take the eye of Horus, which he tore out!"
114, jT n .k Hrj .k ,Take that which is on you!
115,jn n .k nHr .w Hr .k ,Draw the Neher clothing upon you!
116,dj .n .j jr .t .k,I have placed your eye .
117, m n .k jr .t Hr ,Take the eye of Horus!
118, Ssp n .k tpj .k ,Receive that which is upon you!
119,jm jr .t .k,Take your eye!
120, m n .k jr .t Hr xnf .t .n .f ,"Take the eye of Horus, which he baked!"
121, m n .k jr .t Hr ,Take the eye of Horus!
122, m n .k jr .t Hr jtH .t .n .f ,"Take the eye of Horus, which he tore out!"
123, m n .k jr .t Hr d .t .j n .k m rA .k,"Take the eye of Horus, which I would put in your mouth for you!"
124, m n .k jr .t Hr pA .t .k ,"Take the eye of Horus, your Pat cake!"
125, m n .k jr .t Hr jtH .t .n .f ,"Take the eye of Horus, which he tore out!"
126, jn n .k jbH .w .f HD .w wDA .w ,"Acquire his teeth, white and sound!"
127, jm xpx jr .t Hr ,"Take the Khepekh, the eye of Horus!"
128,jbA,Dance!
129, m n .k jr .t Hr sxn .wt .k,"Take the eye of Horus, which you sought!"
130,m n .k jsw .tj jr .t Hr,"Take the uraeus, the eye of Horus!"
131,m n .k sb .w jr .k ,Take those who would rebel against you!
132, m n .k jsSAw .k ,Take your Sesha bird!
133, m n .k jr .t Hr ,Take the eye of Horus!
134, m n .k jr .t Hr Sm .t .f jr .s ,"Take the eye of Horus, to which he went!"
135, m n .k jr .t Hr jmjt HA .t .f,"Take the eye of Horus, that which is in his brow!"
136,jm jr .t Hr jmjt HA .t stS,"Take the eye of Horus, that which is in the brow of Seth!"
137, m n .k tp .w jmjw xt stS srj .w ,Take the severed heads of the Company of Seth!
138, m n .k Dr jb pn ,Take the end of this heart!
139, m n .k jr .t Hr msA .t .n .f ,"Take the eye of Horus, which he has brought!"
140, m n .k jw .w ,Take that which has come!
141, m n .k jr .t Hr ,Take the eye of Horus!
142, m n .k jr .t Hr jtH .t .n .f ,"Take the eye of Horus, which he tore out!"
143, m n .k jr .t Hr ,Take the eye of Horus!
144, sjp n .k jr .t Hr ,To you has the eye of Horus been alloted .
145, jm jr .t Hr sswn .t .n .f mw jm .sw ,"Take the eye of Horus, from which he removed the water!"
146, m n .k jr .t Hr ,Take the eye of Horus!
147, m n .k jr .t Hr ,Take the eye of Horus!
148, m n .k jr .t Hr j .xxm .t .n .sn jr .f ,"Take the eye of Horus, which they took away from him!"
149,Htm Tw m Hnq pr jm .k ,Provide yourself with the outflow which went forth from you!
150,Htm Tw m Hnq pr jm .k ,Provide yourself with the outflow which went forth from you!
151,Htm Tw m Hnq pr jm .k ,Provide yourself with the outflow which went forth from you .
152,Htm Tw m Hnq pr jm .k ,Provide yourself with the outflow which went forth from you!
153, m n .k mnD nj Hr dAp .snj ,"Take the breast of Horus, which they present!"
154, wp rA .k jm .s ,Open your mouth with it!
155, m n .k jr .t Hr bS .t .n .sn ,Take the eye of Horus which they spat out!
156, m n .k Hwn .t jmjt jr .t Hr ,Take the pupil which is in the eye of Horus!
157, m n .k jr .t Hr j .HAm .t .n .f ,"Take the eye of Horus, which he has fished out!"
158, m n .k jr .t Hr ,Take the eye of Horus!
159, m n .k jr .t Hr ,Take the eye of Horus!
160, m n .k jr .t Hr xnf .t .n .f ,"Take the eye of Horus, which he baked!"
161, m n .k jr .t Hr Sd .t .n .f m a stS ,"Take the eye of Horus, which he removed from Seth!"
162,m n .k jr .t Hr HD .t ,Take the white eye of Horus!
163, m n .k jr .t Hr wAD .t,Take the green eye of Horus!
164, m n .k jr .t Hr ,Take the eye of Horus!
165, m n .k jr .t Hr ,Take the eye of Horus!
166, m n .k jr .t Hr ,Take the eye of Horus!
167, m n .k jr .t Hr j .nsb .t .n .sn,"Take the eye of Horus, which they licked!"
168, jr .tj .kj,Let me open your eyes .
169, m n .k jr .t Hr ,Take the eye of Horus!
170, m n .k jr .t Hr bnj .t,Take the sweet eye of Horus!
171, m n .k jr .t Hr ,Take the eye of Horus!
172,hA nxx n .k sj xr .k xr .k,"Oh, for you it is given to you, to you!"
173, Htp Dj nj sw .t Htp Dj gbb n T. pn ,"The offering given of the king, the offering given of Geb for Teti ."
174,Dj n .k Hnk .t nb .t wAH .tj t Hnq .t pA .t nb .t mr .t .k,"Given to you is every offering, it being set down every bread and beer, and Pat cake which you might desire ."
175, jw .n Hr jab .f kw ,"Horus has come, only that he may unite you ."
176,j .msA kw jr gbb ,Betake yourself to Geb!
177, Dj .n n .k gbb jr .tj .kj ,Geb has given you your eyes .
178,Twt kA .f ,You are his Ka .
179, jm jr .tj wr pn ,Take the eyes of this great one!
180,Htp Hr .snj,Be satisfied with them!
181, Htp Hr .k n Hr ,Your sight is satisfied because of Horus .
182,Dj .n n .k Hr,As Horus has given to you .
183,Dj .n .j n .k Hr ,As Horus has given to you .
184,Dj .n .j n .k Hr ,As Horus has given to you .
185,m n .k Hnq pr m wsjr ,Take the outflow which came forth from Osiris!
186,jm mw jmjw .k ,Take the waters which are in you!
187, m n .k jr .t Hr ,Take the eye of Horus!
188, jm jr .t Hr wAD .t jT.t .n .f,"Take the green eye of Horus, which he seized!"
189,Dj .n .j n .k Hr ,As Horus has given to you .
190,Dj .n .j n .k Hr ,As Horus has given to you .
191,Dj .n .j n .k Hr ,As Horus has given to you .
192, Dj .n .j n .k Hr ,As Horus has given to you .
193,Dj .n .j n .k Hr ,As Horus has given to you .
194,Dj .n .j n .k Hr ,As Horus has given to you .
195, m n .k jr .t Hr ,Take the eye of Horus!
196, jr .t Hr tn bnj .t sxt n .k sj,"As for this sweet eye of Horus, make it return to you ."
197, jp n .k sj ,Reckon it to yourself !
198, Hw hA nxx sj xr .k ,"Ah, oh, it, the eye of Horus is given to you!"
199,jr .t Hr tn rwD .t d .j n .k sj ,"As for the enduring eye of Horus, let me give it to you ."
200, mH .n kw Hr tm .tj m jr .t .f m tp wAH .t ,Upon the oblation has Horus filled you completely with his eye .
201, wDb Tw Hr t .k pn ,Turn yourself toward this bread of yours!
202,sT .k r W.,Your scent be toward Unas!
203, m n .k jr .t Hr pA .t njt nTr .w wSb .t .sn jm ,"Take the eye of Horus, the Pat cake of the gods, whence they are nourished!"
204, m n .k Hnq pr m wsjr ,Take the outflow which went forth from Osiris!
205,jm sj jr .t Hr jr .k,"Take it, the eye of Horus to you!"
206, Dba W. Srr .w Sd nw jmj SpA wsjr ,It is the little finger of Unas which removed that which is in the navel of Osiris .
207, wD W. n ftkt wdpw nj ra ,"Commend Unas to Fetket, the provisioner of Re!"
208, wD T. n ftkt wdpw nj ra,Commend Teti to Fetket the provisioner of Re!
209,x .t n .j sSm x .t n .j sSm,"The offering to me, O butcher, the offering to me, O butcher!"
210, x .t n .j tm x .t n .j tm,"The offering to me, O Atum, the offering to me, O Atum!"
211,wAD W.,Unas flourishes .
212, wHm jn .w jAb .tjw t .k pw ,"Let the eastern bearers repeat, ‘It is your bread .’"
213, wab rA nj W. ,Purify the mouth of Unas!
214, bw .t W. pj Hqr n wnm .n .f sw ,Hunger is what Unas detests; he cannot eat it .
215, anx .t .f jm anx W. jm ,"As for that by which he Horus lives, let Unas live thereon ."
216, n Sm .n .k js mwt .tj,You cannot go dead .
217, sA .k S ,May you beware the lake .
218, s jn .w .k bT Hw .tjw .k xr jt .k xr tm ,"Let your bearers go, your heralds hurry to your father, to Atum ."
219, sja n .k sw ,Make him rise up!
220,sxA .Tn sw W. pn ,"May you remember him, this Unas!"
221, jw .n .s xr .t ,To you has she come .
222, j n .k W. pn ,To you comes Unas .
223,jw .n .j xr .T,To you have I come .
224,j r .f W. pn xwrr psD .t Ax j .xm sk ,"Thus does Unas come, a newborn of the Ennead, an Akh, an imperishable star ."
225,bjk jmj xt jT .f j .n .sn ,"‘O falcon, O successor who seizes,’ say they ."
226,anx .f anx W. pn ,"If he lives, Unas lives ."
227, jw .n .f xr .T ,To you has he come .
228,Dj .T Sa .t W. mr Sa .t .T,May you cause that dread of Unas be like the dread of you .
229, n Twt js Hr Sn m sA jr .t .f ,"For you are Horus, encircled in the protection of his eye ."
230,mA Tw jt .k,Let your father see you .
231, jw .n .f xr .k jt .f,"He has come to you, his father ."
232, aHa Hms r xA m t xA Hnq .t ASr .t Sb .tjw .k m pr nm .t t rtH m wsx .t ,"Arise! Be seated at a thousand bread and a thousand beer, and roasted meat, your ribs from the slaughterhouse, and Reteh bread from the broad hall ."
233, Htm nTr m Htp .t nTr Htm W. m t .f pn,"Just as a god is provided with divine offerings, so is Unas provided with this bread of his ."
234, wD .k mdw n jA .wt Hr ,And issue commands to the mounds of Horus!
235, Hw Tw Ne. pn jnn Tw Ne. ,"Oh, you Neferkare! Turn yourself about, O Neferkare!"
236, j .Sm jAw ,Let the old one go .
237, Dd .j nn jr .k ,Against you do I say this .
238, psH .n W. tA psH .n W. gbb psH .n W. jt nj psH sw,"Unas’s having bitten the earth, Unas’s having bitten Geb, was Unas’s having bitten the father of the one who bit him ."
239, ja .tj hjw n .j ,"Be washed, O serpent, for me!"
240, m xm wj ,Do not ignore me!
241,ny rx W.,Unas does not know .
242, nj .j nw pr m rA .k r .k Ds .k,I will cast down this which goes forth from your mouth against you yourself .
243, d .j n .k sj ,Let me give it to you .
244, j n .T W. pn ,Unas comes even to you .
245, wp .k s .t .k m P.t m ab sbA .w njw P.t ,"May you open your place in the sky, among the stars of the sky ."
246,aHa .tj W. pn m ab .wj tp .f smA .wj ,"Arise, O Unas, as one upon whom are horns, the double wild bull!"
247, nxj Pseudo Resjdue: 2nd at §256d rn .k xr rmT,Let your name endure with men .
248, jr .n n .k sA .k Hr,Your son Horus has acted for you .
249, W. pj W. mA ,"It is Unas, Unas who was seen ."
250,W. pj aA,The great one is Unas .
251,xa W. m nfr tm m sSSn r Sr .t ra,"Let Unas appear as Nefertem, as the lotus at the nostrils of Re ."
252, W. pw Hrj kA .w dmD jb .w njw Hrjw sA wr ,"Unas is the one who is over Kas, who informs those over the knowledge of the great one ."
253, jry wA .t n W. ,Make a way for Unas!
254, j .n W. mA .Tn sw xpr m nTr aA,"Unas has come, even that you see him transformed into the great god ."
255,wab .n W. pn m sx .t jAr .w,Unas has become pure even in the field of rushes .
256, jr s .t n W. ,Make a place for Unas!
257, saHa .snj jA .tj .j m xnt wr .w ,Setting up my two standards in front of the great ones .
258, saHa .snj jA .tj T. pn m xnt wr .w ,Setting up Teti’s two standards in front of the great ones .
259,ms .n .j wbn ab .f jwn sdm kA nj P.t,"O one whom I bore, shining of horn, eye painted pillar, bull of the sky ."
260,wAH saH .k r tA n T. pn,Set your title down for Teti!
261, jwa .n W. gbb jwa .n W. gbb ,Unas has inherited from Geb: Unas has inherited from Geb .
262, jT W. P.t ,Let Unas take the sky .
263, n aq W. m gbb ,Unas will not enter into Geb .
264,bw .t T. pn pw tA ,What Teti detests is the land .
265,Hr pj W. jwa jt .f ,"Unas is Horus, the heir of his father ."
266, Tsy .f sw n mr .t .n .f,Let him raise himself up to that which he desires!
267, jw mk .t W. m jr .t .j ,The protection of Unas is my eye .
268, W. pj nsr m tp TAw r Dr .w P.t r Dr tA,"Unas is a flame in the wind, to the ends of the sky, to the ends of the earth ."
269, m xm T. ,Do not forget Teti .
270,j .Dd .j jrj Htp wa ,I thus saying ‘One who is at peace who is alone!’
271, j .Dd P. pn ,Pepi saying to you .
272, d sxn .wj P.t n W. ,The two reed boats of the sky are given to Unas .
273, ms .tj .f ms .wt jm mAw rnpw ,"There will he really be born, renewed and rejuvenated ."
274, njs .tj .s jr .k jn ra,Even with a summons to you being made by Re .
275, njs .tj .s jr T. jn ra ,Even with a summons to Teti being made by Re .
276, DA .tj DA .wt T. jm jr gs pf jAb .tj nj P.t ,That Teti’s ferrying might be ferried thereon to that eastern side of the sky .
277, sDA .tj sDAy .t jt .j jm r Ax .t njt P.t ,"that my father’s traveling might be traveled thereon to the horizon of the sky,"
278,d sxn .wj P.t n P. pn Ds .f,The two reed boats of the sky are given to Pepi also .
279,jn .sn n P. pn fd jpw swA .tjw Hnsk .tjw aHa .jw Hr Dam . w .sn m gs jAb .tj nj P.t,"Bringing to Pepi these four of the passing by, the side lock wearers, who stand upon their staves in the eastern side of the sky ."
280, d sxn .wj P.t n P. pn ,The two reed boats of the sky are given to Pepi .
281,DAy P. pn jm .sn jr Ax .t xr ra,"That Pepi cross by them to the horizon, to Re ."
282,jn my n P. pn fdw jpw sn .w swA .tjw Hnsk .tjw Hms .w Hr Dam .w .sn m gs jAb .tj nj P.t ,"Do bring to Pepi these four brothers, the ones of passing by, the ones of the side lock, who sit upon their staves in the eastern side of the sky ."
283, jb nj W. n .f Ds .f ,For his part the heart of Unas is his .
284,1057 Xny .k m P.t m wjA .k,that you row in the sky in your bark .
285,DA .f r sx .t jAr .w ,Let him cross to the field of rushes .
286, jay Nt . a .wy .sj,Let Neith wash her hands .
287,Xny .f m P.t m wjA .k ,That he row in the sky in your bark
288, DAy .k r sx .t jAr .w ,May you cross to the field of rushes .
289, mr Tn W. nTr .w mr .Tn sw nTr .w,"Let Unas love you, O gods, and may you love him, O gods ."
290,1059 mr W. Tn nTr .w mr sw nTr .w ,"Let Unas you love, O gods, and love him, O gods ."
291,mr Tn P. nTr .w mr .Tn wj P. pn nTr .w ,"Let Pepi love you, O gods, and may you love me Pepi . O gods ."
292,j .n M.n n smA .f mr jw .t nTr n smA .f,"Merenre has come to his side, just as a god comes beside him ."
293,n srx .w anx jr .y M.n,No one living will accuse me Merenre .
294,DA .k sw,Even that you ferry him .
295, Ne. pw smA tA .wj ,the one who joined the two lands is Neferkare .
296, pry Ne. Hr mAq .t tn jr .t .n n .f jt .f ra,And let Neferkare ascend upon this ladder which his father Re made for him .
297, j .n W. xr .T ,To you has Unas come .
298, wsr sw r .f ,Yet he is stronger than him .
299, wsr T. r .f ,Yet Teti is stronger than him .
300, W. pj wnm HkA .w .sn j .am Ax .w .sn ,"Unas is one who eats their magic, who swallows their Akh power ."
301, j .n W. xr .Tn ,To you has Unas come .
302, jmj mk .tj W. ,Cause that Unas be protected!
303, W. pj ,It is Unas .
304, jmj n .j jwn Aw Twbs jwf jwn hnw ,"Give to me now, O Au serpent tjubes, meat now, and a vessel ."
305, rw nj phtj rw nj pTtj phtj pTtj W. ,"The lion of Pehti, the lion of Petjti, the Pehti and Petjti of Unas ."
306, rA .j n .j ,My utterance is mine .
307,jkj .j r r an .t .j tn jr .k jAb .jt ,"I will indeed thrust this talon of his against you, the left ."
308,jkj .j r r an .t .j tn jr .k ,"I will indeed thrust this talon of his against you, the left ."
309, aHA .j ,As I fight .
310, jAT rn .j,‘Maimer’ is my name .
311, jk .j r r m nn jk .j r r m nn ,I will indeed attack with this: I will indeed attack with this .
312, jm .k jr wp .wt .k m W. ,Nor perform your task with Unas .
313,dr Hkn .w .k bAA HD jn pr m fnT ,"Praise of you is expelled, O Baahedj, by the one who goes forth as the worm ."
314,jm .k rDj mA Tw W.,And do not let Unas see you!
315, Hr pj W. pr m SnD pr m SnD ,"Unas is Horus, who came forth from the acacia, who came forth from the acacia ."
316, wDD n .f sAw Tw rw ,"for whom it was commanded ‘Beware, O lion!’"
317, W. sp .tj .f j ,Unas is the one who will survive .
318, aHa n W. ,Attend to Unas!
319,1063 aHa n .j ,Attend to me!
320, Dr .t njt W. jw .tj Hr .k ,The hand of Unas is come upon you .
321, Ax .t .f tp .f jr Hf Aw pn pr m tA Xrj Dba .w W. ,"While his diadem is upon him, against this serpent, which rose from the earth, which is under the fingers of Unas ."
322,n SnT .j,I will not be striven with .
323, n SnT T. ,Teti will not be striven with .
324, gmy W. m wA .t .f wnm .f n .f sw mwmw ,"As for the one whom Unas might find in his way, he will eat him, he being devoured ."
325, jn nw n W. ,Bring this to Unas!
326, wnt rDj .n n .Tnj W. pA .wt .Tnj ,That Unas has given you your Pat cake .
327,1064 wnt rDj .n W. n .Tnj pA .wt .Tnj ,That you Unas has given your Pat cake .
328, Tr P. pn jm .s m rn .s pw nj Tr .t,May Pepi be red by it in its name of ‘willow .’
329,Trw .k jm .s m rn .s pw nj Tr .t,"may you be red by it, in this its name of ‘willow,’"
330, ns .t W. xr .k ,The throne of Unas is yours .
331,1066 wab .n n W. psD .tj ,The two Enneads have performed priestly service for Unas .
332, sk .n Ne. jr .f ja r .f Ne. n P.t ,"That which Neferkare accordingly destroyed, that he might thus rise up to the sky ."
333, DA .f jr qbHw,That he cross to the firmament .
334,1068 DA .j jr qbHw,That I cross to the firmament .
335, DA .f jr qbHw,That he cross to the firmament .
336, Twt mtw .t gbb jw wD .n wsjr xa .w W. ,‘And you are the seed of Geb’ – thus did Osiris command the appearance of Unas .
337, sk .n W. jr ja n P.t ,that which Unas destroyed in order to rise up to the sky
338, j .wn wA .t W. ,Open the way of Unas!
339, jw W. jmjtw .snj,And Unas is between them .
340, Ha W. j .n Hr Hms W. j .n stS ,"‘Stand, O Unas,’ says Horus . ‘Be seated, O Unas,’ says Seth ."
341, jr .sn wTs .w n W. Hr a .wj .sn ,Let them make a raising up for Unas before them .
342, jr .sn n .k wTs .w Hr a .wj .sn,Let them make a raising up for you before them .
343,1070 j n .j nTr .w bA .w p nTr .w bA .w nxn ,"The gods the Bas of Buto, and the gods the Bas of Hierakonpolis, come to me ."
344,pr .k r .k W. jr P.t ,"May you ascend, O Unas, to the sky ."
345, m kw jr .k Tw xpr .tj r .f m j .mn .w nj smA ,And yet behold: you have become the enduring bull of the wild bulls .
346, jwnw .j m W. ,A Heliopolitan is Unas .
347, pr .tj xrw n W. ,Send forth the voice for Unas!
348,Hms W. m bAH .f ,Unas sits before him .
349,W. pw Hr,For Horus is Unas .
350, jn n W. j .pA .s xnn .s ,"Bring to Unas ‘Just as it flies, so does it alight!’"
351,jn .tj n .k W. sy mXn .t ,"Which ferryboat, O Unas, should be brought to you?"
352, jn .tj n .k sy mXn .t ,which ferryboat should be brought to you?
353,n xm .f Htp Dj ,He will not forget the offering which is to be given .
354,1074 n xm .j Htp Dj ,I would not the offering which is to be given .
355, jr n .k W. hnn hnn ,Let Unas make Henu gesture and again for you .
356, jrj .j n .k hnn hnn ,Let me make Henu gesture and again for you .
357, pA A t r Hw .wt .j Hw .wt n .t ,"Ah, let fly the bread to my houses,1075 to the houses of Neith!"
358, W. pj Hr ,For Horus is Unas .
359, W. pj ,It is Unas .
360,n rDj .n n .Tnj W. HkA .f,Unas does not give you his magic .
361, W. pj sbk wAD Sw .t rs Hr Ts HA .t ,"Unas is Sobek, green of plumage, vigilant of sight, who raises the brow ."
362, T. pw naw Ssm ,Teti is the irritated serpent .
363, W. pj kA jAxw Hr jb jr .t .f ,"Unas is the bull of sunlight, one who is within his eye ."
364, W. pj sA pw nj j .xm .t ,Unas is this son of she who is not known .
365, jn n W. sfr .t Htp .t Hrjt psD .w wsjr ,Bring to Unas the Hetep linen i .e . a boat which is on the back of Osiris .
366,pr W. Hr .s r P.t ,That Unas ascend upon it to the sky .
367,swA .n P. pn Hr .Tn m tm ,Pepi has passed by you even as Atum .
368, swA .n .j Hr .Tn m tm ,I have passed by you even as Atum .
369,wab .n P. Hna ra m mr jAr .w ,Pepi and Re have become pure even in the pool of rushes .
370,Hr sjn .f jwf .k ,Horus rubs your flesh .
371, T. ,O Teti .
372, j .Dd my rn nj T. m nw n Hr ,Speak the name of Teti now to Horus!
373,wab jrj T.,Let Teti thus be pure .
374, jw T. jr P.t ,And Teti is for the sky .
