,Transliteration,Translation
206, Sdd sw Sw r rmn.wti Sw ,Shu takes him out even to be the companion of Shu.
207,Sd n=k T. ir p.t,Take Teti out to the sky!
208,Sd M.n ir p.t,Take Merenre out to the sky!
209,Sd M.n Hna=k,Take Merenre out with you!
210,Sd=sn(i) Ne. ir p.t ir p.t Hr Hti n(i) snTr,"Let them take Neferkare out to the sky, to the sky upon the smoke of incense."
211,i.rs ir=k,Awaken!
212,i.rs,Awaken!
213,i.rs Tz Tw aHa,Awaken! Raise yourself ! Arise!
214,rs,Awaken!
215, rs n=k sDr.n=k mn.ti m anx ,"Awaken, having passed the night, enduring in life!"
216,rs wsir rs,"Awaken, Osiris! Awaken!"
217,i.rs i.rs,"Awaken, awaken!"
218,i.rs Tz Tw,Awaken! Raise yourself !
219,rs rs,Awaken! Awaken!
220,sDr=k i.rs=k,May you pass the night. May you awaken.
221,rs Ne. pn nhz nTr i.bAgy,"Let Neferkare awaken, the inert god wake up."
222,i.rs Tz Tw,Awaken! Raise yourself !
223,rs rs,Awaken! Awaken!
224,i.rs i.rs it(=i) wsir m inp tpi mniw=f,"Awaken, awaken, O my father Osiris, as Anubis who is atop his tent!"
225,qbH=s HA.t(i) n(i) nTr aA im hrw=f n(i) rs,That she may libate the heart of the great god (sc. Pepi) there on his day of awakening.
226,i.rs n Hr,Awaken to Horus!
227,rs n Hr,Awaken to Horus!
228,rs n Hr,Awaken to Horus!
229,rs r(=i),Awaken to me!
230,rs n=i,Awaken to me!
231,i.rs n Hr,Awaken to Horus!
232,i.rs n Hr,Awaken to Horus!
233,bA=k n=k m-Xnw=k,With your Ba yours within you.
234,bA=k n=k HA=k,Let your Ba be yours around you.
235,bA=k n=k xr=k,Your Ba is yours with you.
236,bA=k n=k m-Xnw=k,With your Ba yours within you.
237,bA=k m-Xn=k,Your Ba is inside you.
238,bA=k m-Xn=k,Your Ba within you.
239,ia kw,Wash yourself !
240,ia Tw i[a ] sw kA=k,"Wash yourself, that your Ka may wash itself !"
241, ia n=k [a.wy=k(i) m mw ip]n rnpw rDi.w.n n=k it=k wsir ,Wash [your hands with this] fresh [water] which your father Osiris gave to you!
242,ia sw W. pn,Let Unas wash himself.
243, aHa P. pn Hr ns.t=k xnti anx.w ,"Stand, O Pepi, upon your throne of the one foremost of the living!"
244,anx rn=k xnt(i) anx.w,May your name live before the living.
245,wD=k mdw m xnti anx.w D.t,Issuing commands as foremost of the living.
246, xa.ti r=sn m zAb Hr is xnt(i) anx.w gbb is xnt(i) psD.t wsir is xnt(i) Ax.w ,"You being appeared to them as a jackal, as Horus, foremost of the living, as Geb, foremost of the Ennead, as Osiris, foremost of Akhs."
247, aHa.ti xnti Ax.w mr aHa Hr xnti anx.w ,"Stand before the Akhs, just as Horus foremost of the living stands!"
248, m(i) W. ii m(i) W. ii m-k(w) W. pr ,Behold: Unas is come; behold: Unas is come; behold: Unas is ascended.
249,m-k(w) M.n i.y m-k(w) M.n pry,Behold: Merenre is come; behold: Merenre is ascended.
250,m-k(w) wi pr.[k]i,Behold: I am ascended.
251,Aw[=f n=f a.w]t=f i.xm(.w)t sk imit X.t mw.t=f nw.t,Let [him] stretch out his imperishable [limbs] which are in the womb of his mother Nut.
252,nki ki X.t nw.t Xr mtw.t Ax imi=s,Impregnate the belly of Nut with the seed of the Akh who is in her.
253,X.t n(i)t M. pn m nw.t,The belly of Meryre is as Nut.
254, TAp r X.t=T nw.t Xr mtw.t nTr imwt=T ,"A pressure is at your womb, O Nut, through the god’s seed which is in you."
255,wnwn=T m X.t mw.t=T m rn=T n(i) nw.t,"You moving in the womb of your mother, in your name of ‘Nut.’"
256,nHb W. kA.w nHm=f kA.w,Let Unas bestow Kas; let him take away Kas.
257,nHb=f kA.w nHm=f kA.w,"Just as he bestows Kas, so does he take away Kas."
258,nHb.n=f kA.w=Tn,He having bestowed your Kas.
259,nHb Ne. kA.w,Neferkare bestow Kas.
260,nHm=f kA.w nHb=f kA.w,Taking away Kas and bestowing Kas.
261,i.mz( A) k(w) ir=f,Betake yourself to him!
262,i.mz( A) kw ir(=i),Betake yourself to me!
263,i.mz( A) kw ir gbb,Betake yourself to Geb!
264,zA=k S,May you beware the lake.
265,zA Tw S wr,Beware the great lake!
266,Xn i.pH zA Tw S wr,"Row, reach, and beware the great lake!"
267,zA Tw S wr,Beware the great lake!
268,[zA T]w S-wr pw ir Ax.w xns pw ir mwt.w,[Beware] this great lake against the Akhs and this Khenes-lake against the dead!
269,sp=sn zxn.wi n M.n,Let them lash together the two reed-boats for Merenre.
270, zmA.y mXn.wt M.n n zA i.tm Hqr iby iby Hqr m pn gs rsi n(i) mr-nxA(i) ,"Put together are the ferryboats of Merenre, for the son of Atum, hungry and thirsty, thirsty and hungry, on this southern side of the shifting waterway."
271,zmA.n n=f Hr=f-HA=f mSn.ti ni mr-nxA(i),"For Herefhaf, ferryman of the shifting waterway, has put ( it) together for him."
272, zmA.y mXn.wt n zA i.tm ,Assembled are the ferryboats for the son of Atum.
273,Tz=s n=k qs.w=k dmD=s n=k a.wt=k sAq=s n=k iwf=k,"That it bind up your bones for you, gather together your limbs for you, collect your flesh for you."
274,Tz n=k [qs.w=k] dmD n=k a.wt=k,[Your bones] have been bound up for you: your limbs have been united for you.
275, [sn.ti=k(i) wr.ti-HkA.w s]Aq.ti iwf=k Tz.ti a.wt=k i.sxa.ti ir.ti=k(i) m tp=k msk.t(i)t manD.t,"[As for your two sisters, the two greats of magic, who co]llect your flesh, who bind up your limbs, who make your eyes appear in your head, the night-bark and the day- bark."
276,Tz qs.w=f m wsir,His bones having been bound up as Osiris.
277,Tz qs.w=f m [wsir],His bones having been bound up as [Osiris].
278,m-k r-r sw msy m-k sw Tz m-k sw xpr,Behold: he is born. Behold: he is tied together. Behold: he has come into being.
279,Tz qs.w Ne. wt,Let the bones of Neferkare be bound up enwrapped.
280,Tz=s n=k qs.w=k dmD=s n=k a.wt=k sAq=s n=k iwf=k,"That it bind up your bones for you, gather together your limbs for you, collect your flesh for you."
281,sAq=T qs.w T.,And collect the bones of Teti.
282, sn.t=k wr.t sAq.t iwf=k qfn.t Dr.wt=k zxn.t Tw ,Your eldest sister is she who
283,sAq(=i) n=k nb(.t)=k,That I collect your loose parts for you.
284, [sn.ti=k(i) wr.ti-HkA.w s]Aq.ti iwf=k Tz.ti a.wt=k i.sxa.ti ir.ti=k(i) m tp=k msk.t(i)t manD.t,"[As for your two sisters, the two greats of magic, who co]llect your flesh, who bind up your limbs, who make your eyes appear in your head, the night-bark and the day- bark."
285,dmD qs.w Ne. n=f sAq n=f a.wt=f,"Who gathers together the bones of Neferkare for him, and gathers his limbs for him."
286,iab.n n=k Hr a[.wt]=k,Horus has joined your limbs to you.
287,iab.n n=k Hr a.wt=k,Horus has joined your limbs to you.
288,iab=s n=k qs.w=k,Let her join your bones to you.
289,iab=s n=k qs.w=k,Let her join your bones to you.
290,iab n=k qs.w=k Szp n=k tp=k,Join your bones to yourself ! Receive your head!
291, Szp n=k tp=k iab n=k qs.w=k ,Receive your head! Join your bones to yourself !
292,iab n<=k> a.wt=k,Join your limbs to yourself !
293,fnD=k m zAb,Your nose is a jackal.
294,rmn.wi=k(i) m wpi.w,Your arms are Wepiu.
295,HA.t=k m zAb,Your front is a jackal.
296,rd.wi=k(i) m z( A)b,Your feet are a jackal.
297,HA.t=k m z( A)b,Your front is a jackal.
298,n xpr.t p.t n xpr.t tA,"With the sky not yet existing, the earth not yet existing."
299,ms.t n xpr.t SnT.t ms.t n xpr.t Xnn.w,"Which was born before strife had come into being, which was born before discord had come into being."
300,n xpr.t p.t n xpr.t tA,"Before the sky had come into being, before the earth had come into being."
301,wTz=sn Tw,That they may lift you up.
302,f A=sn Tw,While raising you up.
303,f A sw,Lift him up!
304,f A it=Tn wsir P. pn,Lift up your father Osiris Pepi!
305,[f A=Tn sw],[With you lifting him up].
306,wTz=sn kw,Let them upraise you.
307,f A=Tn [sw],And you lift [him] up.
308,Tz.n Tw ms.w ms.w=k twt Hp [ ims]ti dwA-mw.t=f qbH-sn.w=f ir.w.n=k rn.w[=sn twt] ,"Together have the children of your children raised you, Hapy, [Imse]ti, Duamutef, Qebehsenuef, [whose] names [together] you [made]."
309,wTz=sn Tw,Let them raise you up.
310,i Hfd.w i Hfd.w,The climber comes: the climber comes.
311,Hfd=k iAd=k iAxw,"May you climb, may you mount up the sunlight."
312,i Hfd.w i Hfd.w,The climber comes: the climber comes.
313,Hfd.n Nt. [Hr DnH] xprr,Neith has climbed up [upon the wing] of Kheprer.
314, in Nt. m Hfd.t r pr /// wp.t psD.wt ,"It is Neith climbing to the house, [to] judge the Enneads."
315,D.t ir p.t,Let the cobra be for the sky.
316,D.t r p.t,Let the cobra be for the sky.
317,D.t r p.t,Let the cobra be for the sky.
318,i(w)=T ir p.t,You are for the sky.
319,D(.t) ir p.t,Let the cobra be for the sky.
320,izA=sn Xr=k,That they may set out bearing you.
321,izA Tn Xr wsir M. pn,Set out while bearing Osiris Merire!
322,izA Tn Xr [Ne.],Set out bearing [Neferkare]!
323,[ izA Tn Xr] Ne.,[Set out bearing] Neferkare!
324, i.y m Htp ir=k T. n it=k i.y m Htp ir=k n ra ,"Come in peace, O Teti, to your father; come in peace to Re!"
325, m( y) m Htp n wsir ii m Htp ir=k n wsir ,Come in peace to Osiris! Come in peace to Osiris!
326,m( y) m Htp ir=k n wsir,Come in peace to Osiris!
327,m( y) m Htp ir=k n ra,Come in peace to Re!
328,m( y) m Htp ir[=k] n psD.ti,Come in peace to the two Enneads!
329,i.t(i) n bA=k,Come to your Ba!
330,iw.t=k xr(=i),And come to me.
331,iw.t=k ir qd=k,But come to your form.
332,Sm n=k iw n=k,Go! Come!
333, m( y) anx anx=k nn m tr=k m tr=k m rnp.wt iptn Htp.ti ,"Come! Live your life here from season to season in these years, you being satisfied."
334,i,Come!
335,m( y) r=k Hr=sn m rn=k pw n(i) mHy.t,"Come upon them, in this your name of ‘Mehyt.’"
336,m( y) n=f m( y) n=f,Come to him! Come to him!
337,mi Dd-T,Come likewise!
338,i.Sm=k iw.t=k,May you go and may you come.
339, [ i n=k] Ne. pw m iwnw ,"[Come,] O Neferkare, from Heliopolis!"
340, Dd-mdw zp 4 m( y) pr.ti n=k xrw,"Recite four times. Come, and let the voice be sent forth to you!"
341,m( y) wnx=k n=k ir(.t) Hr (w)DA.t imit tAi.t,Come and don the whole eye of Horus
342,i,Come!
343,iw,Come!
344,nm.n T. p DA.n=f knm.wt,Teti has traversed Buto: he has crossed Kenmut.
345,pr.n P. m p xr bA.w p,From Buto with the Bas of Buto has Pepi gone forth.
346,pr.n M.n m p xr nTr.w p(.iw),From Buto with the gods of Buto has Merenre gone forth.
347,iw.n Ne. m p dSr sD.t,"Neferkare has gone forth from Buto, red of flame."
348,i.n Ne. m p dSr sD.t,"Neferkare has gone forth from Buto, red of flame."
